"Nombre Equipo","Partidos Jugados","Partidos Ganados","Partidos Empatados","Goles","Asistencias","Tarjetas","Penalties","puntos"
"athletic club",3,8,2,4,4,12,4,26
"atletico de madrid",1,4,1,11,9,6,5,13
"c a osasuna",3,5,5,2,2,8,3,20
"cadiz cf",3,8,4,2,12,2,1,28
"d alaves",3,6,5,3,11,11,6,23
"elche c f",1,5,6,1,12,7,3,21
"fc barcelona",3,2,3,12,8,4,6,9
"getafe cf",2,7,4,2,10,14,3,25
"granada cf",3,10,2,4,2,9,4,32
"levante ud",2,7,5,6,7,3,4,26
"rc celta",3,8,4,5,3,13,4,28
"real betis",3,9,1,5,4,10,6,28
"real madrid",3,3,3,10,8,2,3,12
"real sociedad",4,10,5,9,6,10,7,35
"r valladolid cf",3,6,5,3,12,8,6,23
"sd eibar",3,6,6,2,12,3,6,24
"sd huesca",3,1,8,1,1,1,2,11
"sevilla fc",2,11,2,4,3,5,4,35
"valencia cf",3,6,6,7,5,9,6,24
"villarreal cf",3,10,7,8,6,3,6,37
